financials.Discount Band,financials.Segment,blank-axis-row,Sum(financials. Sales),
Medium,Small Business,(Blank),16893348,"16893348,0,16893348"
Medium,Government,(Blank),15454138.400000004,"15454138.400000004,0,15454138.400000004"
Medium,Enterprise,(Blank),5115507.5,"5115507.5,0,5115507.5"
Medium,Midmarket,(Blank),735086.175,"735086.175,0,735086.175"
Medium,Channel Partners,(Blank),582350.76,"582350.76,0,582350.76"
High,Small Business,(Blank),13030977,"13030977,0,13030977"
High,Government,(Blank),16291390.694999991,"16291390.694999991,0,16291390.694999991"
High,Enterprise,(Blank),6528971.25,"6528971.25,0,6528971.25"
High,Midmarket,(Blank),945854.3999999998,"945854.3999999998,0,945854.3999999998"
High,Channel Partners,(Blank),575293.3800000001,"575293.3800000001,0,575293.3800000001"
Low,Small Business,(Blank),10734193.5,"10734193.5,0,10734193.5"
Low,Government,(Blank),16622003.575,"16622003.575,0,16622003.575"
Low,Enterprise,(Blank),6442215.625,"6442215.625,0,6442215.625"
Low,Midmarket,(Blank),410392.50000000006,"410392.50000000006,0,410392.50000000006"
Low,Channel Partners,(Blank),420973.49999999994,"420973.49999999994,0,420973.49999999994"
None,Small Business,(Blank),1769400,"1769400,0,1769400"
None,Government,(Blank),4136728,"4136728,0,4136728"
None,Enterprise,(Blank),1525000,"1525000,0,1525000"
None,Midmarket,(Blank),290550,"290550,0,290550"
None,Channel Partners,(Blank),221976,"221976,0,221976"
