financials.Segment,financials.Month Name,financials.Product,financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
Channel Partners,April,Amarilla,High,Canada,38021.399999999994,10561.5,"38021.399999999994,0,38021.399999999994"
Channel Partners,April,Amarilla,None,United States of America,23436,5859,"23436,0,23436"
Channel Partners,April,VTT,Low,Mexico,22302.24,5748,"22302.24,0,22302.24"
Channel Partners,April,VTT,Medium,France,19401.66,5215.5,"19401.66,0,19401.66"
Channel Partners,April,VTT,None,Germany,34056,8514,"34056,0,34056"
Channel Partners,August,Amarilla,High,France,25542,7425,"25542,27799.2,53341.2"
Channel Partners,August,Amarilla,High,Germany,27799.2,7722,"27799.2,0,27799.2"
Channel Partners,August,Amarilla,Medium,Mexico,12802.2,3369,"12802.2,0,12802.2"
Channel Partners,August,Amarilla,None,United States of America,25692,6423,"25692,0,25692"
Channel Partners,August,Carretera,Medium,Canada,21025.44,5652,"21025.44,0,21025.44"
Channel Partners,December,Amarilla,High,United States of America,20794.8,6045,"20794.8,0,20794.8"
Channel Partners,December,Amarilla,High,Germany,18478.8,5310,"18478.8,20794.8,39273.6"
Channel Partners,December,Amarilla,Medium,France,3341.52,918,"3341.52,15180,18521.52"
Channel Partners,December,Amarilla,Medium,Mexico,15180,4125,"15180,0,15180"
Channel Partners,December,Carretera,Low,Canada,10569.12,2724,"10569.12,0,10569.12"
Channel Partners,December,Paseo,High,United States of America,9322.8,2742,"9322.8,10575.72,19898.519999999997"
Channel Partners,December,Paseo,High,Germany,10575.72,3039,"10575.72,0,10575.72"
Channel Partners,December,Paseo,Low,France,12406.8,3165,"12406.8,12747.84,25154.64"
Channel Partners,December,Paseo,Low,Mexico,12747.84,3252,"12747.84,0,12747.84"
Channel Partners,December,Paseo,Medium,Canada,27713.4,7293,"27713.4,0,27713.4"
Channel Partners,December,Velo,High,United States of America,9322.8,2742,"9322.8,10575.72,19898.519999999997"
Channel Partners,December,Velo,High,Germany,10575.72,3039,"10575.72,0,10575.72"
Channel Partners,December,Velo,Low,France,12406.8,3165,"12406.8,12747.84,25154.64"
Channel Partners,December,Velo,Low,Mexico,12747.84,3252,"12747.84,0,12747.84"
Channel Partners,December,Velo,Medium,Canada,27713.4,7293,"27713.4,0,27713.4"
Channel Partners,October,Amarilla,High,United States of America,30072.48,8742,"30072.48,0,30072.48"
Channel Partners,October,Amarilla,High,France,14375.76,4179,"14375.76,30072.48,44448.24"
Channel Partners,October,Amarilla,High,Germany,5040.96,1416,"5040.96,44448.24,49489.2"
Channel Partners,October,Amarilla,High,Mexico,4280.4,1230,"4280.4,49489.2,53769.6"
Channel Partners,October,Carretera,High,United States of America,4168.8,1158,"4168.8,12794.64,16963.44"
Channel Partners,October,Carretera,High,France,12794.64,3594,"12794.64,0,12794.64"
Channel Partners,October,Carretera,Low,Canada,15229.2,3885,"15229.2,0,15229.2"
Channel Partners,October,Carretera,Low,Germany,9100.08,2298,"9100.08,15229.2,24329.28"
Channel Partners,October,Carretera,Medium,Canada,25932.72,6897,"25932.72,0,25932.72"
Channel Partners,October,Carretera,Medium,Mexico,4007.64,1101,"4007.64,25932.72,29940.36"
Channel Partners,October,Paseo,High,United States of America,34241.28,9900,"34241.28,0,34241.28"
Channel Partners,October,Paseo,High,France,27170.4,7773,"27170.4,34241.28,61411.68"
Channel Partners,October,Paseo,Low,Canada,15229.2,3885,"15229.2,0,15229.2"
Channel Partners,October,Paseo,Low,Germany,9100.08,2298,"9100.08,15229.2,24329.28"
Channel Partners,October,Paseo,Medium,Canada,25932.72,6897,"25932.72,0,25932.72"
