financials.Month Name,Sum(financials. Sales),Sum(financials.COGS),Sum(financials.Gross Sales),
April,6964775.07,6034790.5,7429392.5,"7429392.5,21130630.5,28560023"
August,5864622.42,5073556,6325959,"6325959,54429933.5,60755892.5"
December,17367228.979999997,14649899,18343293,"18343293,109588305.5,127931598.5"
February,7297531.390000001,6148984,7699201,"7699201,7307403.5,15006604.5"
January,6607761.68,5793733,7307403.5,"7307403.5,0,7307403.5"
July,8102920.180000002,7179054.5,8833027.5,"8833027.5,45596906,54429933.5"
June,9518893.819999997,8045140,10268972,"10268972,35327934,45596906"
March,5586859.869999999,4916993,6124026,"6124026,15006604.5,21130630.5"
May,6210211.0600000005,5381571,6767911,"6767911,28560023,35327934"
November,12651417.499999996,11281315,14115248,"14115248,95473057.5,109588305.5"
October,21671431.019999996,18231650,23142112,"23142112,72330945.5,95473057.5"
September,10882697.27,9095962,11575053,"11575053,60755892.5,72330945.5"
