financials.Month Name,financials.Discount Band,Sum(financials. Sales)
April,Medium,2601078.9200000004
April,High,1372016.1099999999
April,Low,2406750.54
April,None,584929.5
August,Medium,1297635.3299999998
August,High,2130000.94
August,Low,1765088.15
August,None,671898
December,Medium,5195783.06
December,High,3060513.54
December,Low,7928422.38
December,None,1182510
February,Medium,2810156.19
February,High,1097698.74
February,Low,1580926.46
February,None,1808750
January,Medium,2326430.34
January,High,3418889.71
January,Low,793200.63
January,None,69241
July,Medium,2812423.4050000003
July,High,3137045.175
July,Low,1804058.0999999999
July,None,349393.5
June,Medium,4498327.78
June,High,2587070.92
June,Low,1389743.12
June,None,1043752
March,Medium,1420138.21
March,High,2908280.89
March,Low,1218693.77
March,None,39747
May,Medium,1795127.0300000003
May,High,2482221.75
May,Low,1932862.28
November,Medium,2637860.5600000005
November,High,8006725.359999999
November,Low,1392137.58
November,None,614694
October,Medium,6139149.600000001
October,High,5705913.92
October,Low,9724115.5
October,None,102252
September,Medium,5246320.41
September,High,1466109.67
September,Low,2693780.19
September,None,1476487
