Orders.City,Sum(Orders.Sales),
New York City,256368.16099999996,"256368.16099999996,0,256368.16099999996"
Los Angeles,175851.34100000007,"175851.34100000007,256368.16099999996,432219.50200000004"
Seattle,119540.74200000006,"119540.74200000006,432219.50200000004,551760.2440000001"
San Francisco,112669.09199999998,"112669.09199999998,551760.2440000001,664429.336"
Philadelphia,109077.01299999996,"109077.01299999996,664429.336,773506.3489999999"
Houston,64504.760399999985,"64504.760399999985,773506.3489999999,838011.1094"
Chicago,48539.54099999999,"48539.54099999999,838011.1094,886550.6503999999"
San Diego,47521.02899999999,"47521.02899999999,886550.6503999999,934071.6793999999"
Jacksonville,44713.18300000001,"44713.18300000001,934071.6793999999,978784.8623999999"
Springfield,43054.34200000002,"43054.34200000002,978784.8623999999,1021839.2043999999"
Detroit,42446.94400000001,"42446.94400000001,1021839.2043999999,1064286.1483999998"
Columbus,38706.24299999998,"38706.24299999998,1064286.1483999998,1102992.3913999998"
Newark,28576.11899999998,"28576.11899999998,1102992.3913999998,1131568.5103999998"
Columbia,25283.323999999986,"25283.323999999986,1131568.5103999998,1156851.8343999998"
Lafayette,25036.19999999999,"25036.19999999999,1156851.8343999998,1181888.0343999998"
Jackson,24963.85799999999,"24963.85799999999,1181888.0343999998,1206851.8923999998"
San Antonio,21843.528,"21843.528,1206851.8923999998,1228695.4203999997"
Burlington,21668.082000000006,"21668.082000000006,1228695.4203999997,1250363.5023999996"
Arlington,20214.53200000001,"20214.53200000001,1250363.5023999996,1270578.0343999998"
Dallas,20131.932199999985,"20131.932199999985,1270578.0343999998,1290709.9665999997"
Lakewood,18192.047,"18192.047,1290709.9665999997,1308902.0135999997"
Richmond,18137.929999999986,"18137.929999999986,1308902.0135999997,1327039.9435999996"
Henderson,17549.067999999996,"17549.067999999996,1327039.9435999996,1344589.0115999996"
Atlanta,17197.839999999997,"17197.839999999997,1344589.0115999996,1361786.8515999997"
Minneapolis,16870.54,"16870.54,1361786.8515999997,1378657.3915999997"
Providence,15980.649999999996,"15980.649999999996,1378657.3915999997,1394638.0415999996"
Charlotte,13693.338999999998,"13693.338999999998,1394638.0415999996,1408331.3805999996"
Long Beach,13455.029999999999,"13455.029999999999,1408331.3805999996,1421786.4105999996"
Louisville,12345.806000000002,"12345.806000000002,1421786.4105999996,1434132.2165999997"
Denver,12198.792999999998,"12198.792999999998,1434132.2165999997,1446331.0095999998"
Aurora,11656.477999999997,"11656.477999999997,1446331.0095999998,1457987.4875999996"
Milwaukee,11410.220000000003,"11410.220000000003,1457987.4875999996,1469397.7075999996"
Franklin,11257.037,"11257.037,1469397.7075999996,1480654.7445999996"
Phoenix,11000.257000000001,"11000.257000000001,1480654.7445999996,1491655.0015999996"
Concord,10542.402,"10542.402,1491655.0015999996,1502197.4035999996"
Lancaster,9891.464,"9891.464,1502197.4035999996,1512088.8675999995"
North Las Vegas,9801.002,"9801.002,1512088.8675999995,1521889.8695999996"
Fairfield,9483.858000000002,"9483.858000000002,1521889.8695999996,1531373.7275999996"
Indianapolis,9306.419999999998,"9306.419999999998,1531373.7275999996,1540680.1475999996"
Huntsville,9194.9868,"9194.9868,1540680.1475999996,1549875.1343999996"
Buffalo,9063.496,"9063.496,1549875.1343999996,1558938.6303999997"
Miami,8673.074499999999,"8673.074499999999,1558938.6303999997,1567611.7048999998"
Anaheim,7986.870000000002,"7986.870000000002,1567611.7048999998,1575598.5749"
Rochester,7974.529999999997,"7974.529999999997,1575598.5749,1583573.1049"
Fresno,7888.528499999999,"7888.528499999999,1583573.1049,1591461.6334"
Yonkers,7657.666,"7657.666,1591461.6334,1599119.2994"
Lawrence,7654.191999999999,"7654.191999999999,1599119.2994,1606773.4914"
Florence,7621.719999999999,"7621.719999999999,1606773.4914,1614395.2114"
Sacramento,7311.278,"7311.278,1614395.2114,1621706.4893999998"
Wilmington,7297.061000000003,"7297.061000000003,1621706.4893999998,1629003.5503999998"
Tallahassee,7250.669,
Fayetteville,6925.926000000001,
Roswell,6652.319999999999,
Fort Worth,6602.7064,
Oklahoma City,6596.819999999999,
Pasadena,6590.146000000001,
Decatur,6544.293,
Cleveland,6346.185,
Tucson,6313.0160000000005,
Omaha,6312.529999999998,
Baltimore,6156.842,
San Jose,6071.228999999998,
Nashville,6070.863000000001,
Austin,6057.982,
Chesapeake,5996.719999999999,
Oakland,5964.4180000000015,
Memphis,5942.341,
Virginia Beach,5752.130000000001,
Everett,5665.733999999998,
Lakeland,5606.8865000000005,
Tulsa,5556.97,
Alexandria,5519.57,
Clinton,5514.251,
Des Moines,5463.277999999998,
Mobile,5462.99,
Madison,5346.790000000002,
Midland,5291.5120000000015,
Tampa,5196.0805,
Brentwood,5090.114,
Morristown,5033.1,
Fort Lauderdale,4929.5325,
Dover,4878.0740000000005,
Round Rock,4854.0528,
Lowell,4837.93,
Jamestown,4708.79,
Great Falls,4605.579999999999,
Plainfield,4526.849999999999,
Raleigh,4507.54,
Troy,4507.091,
Toledo,4466.053000000001,
Harrisonburg,4388.71,
Oceanside,4350.738000000001,
Santa Barbara,4289.234,
Lakeville,4260.950000000001,
Gilbert,4172.3820000000005,
Portland,4051.868999999999,
Watertown,4044.998,
Mesa,4037.7400000000007,
Cranston,4024.916,
Knoxville,3928.1659999999997,
Kenosha,3906.729999999999,
Parma,3879.756,
Westminster,3826.646,
Bellingham,3790.24,
Amarillo,3773.0628,
Montgomery,3722.73,
Colorado Springs,3694.0090000000005,
Roseville,3588.626,
Little Rock,3560.35,
El Paso,3546.0640000000003,
Plano,3530.3745999999996,
Inglewood,3479.328,
Salem,3444.245,
Marion,3369.3459999999995,
Santa Ana,3366.3100000000004,
Newport News,3321.9500000000003,
Burbank,3247.1580000000004,
Smyrna,3238.889,
Rockford,3166.228,
Auburn,3155.168,
Torrance,3132.2679999999996,
Noblesville,3091.18,
Waynesboro,3058.77,
Orem,2994.0879999999997,
Monroe,2970.434,
Marietta,2938.62,
Glendale,2917.8650000000007,
Jonesboro,2915.32,
Redlands,2891.021,
Washington,2865.019999999999,
Provo,2761.2340000000004,
Akron,2729.9860000000003,
Hampton,2722.2599999999998,
Hempstead,2589.5860000000002,
Beverly,2583.1899999999996,
Sparks,2561.96,
Huntington Beach,2527.82,
Edmonds,2523.6919999999996,
Medina,2477.7219999999998,
Broken Arrow,2439.53,
Warwick,2426.84,
Independence,2417.37,
Greensboro,2406.78,
Dublin,2401.16,
Hialeah,2338.949,
Paterson,2243.21,
Albuquerque,2220.1599999999994,
Clarksville,2217.7300000000005,
Pasco,2201.1119999999996,
Carrollton,2200.6460000000006,
Pleasant Grove,2138.178,
Gresham,2133.424,
Manchester,2126.2799999999997,
Mount Vernon,2119.632,
Greenville,2117.83,
Bowling Green,2077.375,
San Gabriel,2061.01,
Westland,2057.976,
Apple Valley,2053.0209999999997,
Chico,2050.1780000000003,
Highland Park,2035.096,
