financials.Month Name,financials.Country,financials.Product,Sum(financials. Sales),,Sum(financials.COGS)
April,United States of America,Paseo,81296.775,"81296.775,0,81296.775",59212.5
April,United States of America,VTT,430452.75,"430452.75,81296.775,511749.525",351390
April,United States of America,Velo,10423.2,"10423.2,511749.525,522172.72500000003",6060
April,United States of America,Montana,683397,"683397,522172.72500000003,1205569.725",575250
April,United States of America,Amarilla,23436,"23436,1205569.725,1229005.725",5859
April,United States of America,Carretera,387618.75,"387618.75,1229005.725,1616624.475",413460
April,Canada,Paseo,24880.35,"24880.35,1616624.475,1641504.8250000002",19755
April,Canada,VTT,326922.75,"326922.75,1641504.8250000002,1968427.5750000002",245310
April,Canada,Velo,74699.70000000001,"74699.70000000001,1968427.5750000002,2043127.2750000001",38505
April,Canada,Montana,1038082.5,"1038082.5,2043127.2750000001,3081209.7750000004",950625
April,Canada,Amarilla,38021.399999999994,"38021.399999999994,3081209.7750000004,3119231.1750000003",10561.5
April,Canada,Carretera,90956.25,"90956.25,3119231.1750000003,3210187.4250000003",89100
April,France,Paseo,69368.46,"69368.46,3210187.4250000003,3279555.8850000002",50670
April,France,VTT,204390.66,"204390.66,3279555.8850000002,3483946.5450000004",154585.5
April,France,Velo,76507.20000000001,"76507.20000000001,3483946.5450000004,3560453.7450000006",38640
April,France,Montana,468072,"468072,3560453.7450000006,4028525.7450000006",443250
April,France,Carretera,514524.375,"514524.375,4028525.7450000006,4543050.120000001",509220
April,Germany,Paseo,415483.96,"415483.96,4543050.120000001,4958534.080000001",359920
April,Germany,VTT,34056,"34056,4958534.080000001,4992590.080000001",8514
April,Germany,Velo,6885,"6885,4992590.080000001,4999475.080000001",5100
April,Germany,Montana,360899,"360899,4999475.080000001,5360374.080000001",311740
April,Germany,Amarilla,527437.5,"527437.5,5360374.080000001,5887811.580000001",506340
April,Germany,Carretera,50052,"50052,5887811.580000001,5937863.580000001",25800
April,Mexico,Paseo,473078.25,"473078.25,5937863.580000001,6410941.830000001",414425
April,Mexico,VTT,22302.24,"22302.24,6410941.830000001,6433244.070000001",5748
April,Mexico,Velo,35872.2,"35872.2,6433244.070000001,6469116.270000001",26280
April,Mexico,Montana,322420,"322420,6469116.270000001,6791536.270000001",254800
April,Mexico,Amarilla,128880,"128880,6791536.270000001,6920416.270000001",128880
April,Mexico,Carretera,44358.8,"44358.8,6920416.270000001,6964775.070000001",25790
August,United States of America,Paseo,35358.119999999995,"35358.119999999995,0,35358.119999999995",25370
August,United States of America,VTT,1539783,"1539783,35358.119999999995,1575141.12",1365070
August,United States of America,Velo,406433,"406433,1575141.12,1981574.12",366840
August,United States of America,Amarilla,25692,"25692,1981574.12,2007266.12",6423
August,Canada,Paseo,75240.45,"75240.45,2007266.12,2082506.57",49530
August,Canada,VTT,545334,"545334,2082506.57,2627840.5700000003",468500
August,Canada,Velo,114221.25,"114221.25,2627840.5700000003,2742061.8200000003",110760
August,Canada,Montana,12681.9,"12681.9,2742061.8200000003,2754743.72",9150
August,Canada,Amarilla,183540,"183540,2754743.72,2938283.72",143520
August,Canada,Carretera,21025.44,"21025.44,2938283.72,2959309.16",5652
August,France,Paseo,45727.59,"45727.59,2959309.16,3005036.75",34490
August,France,VTT,122682,"122682,3005036.75,3127718.75",99060
August,France,Velo,30001,"30001,3127718.75,3157719.75",15790
August,France,Montana,431112,"431112,3157719.75,3588831.75",390500
August,France,Amarilla,25542,"25542,3588831.75,3614373.75",7425
August,France,Carretera,124737.5,"124737.5,3614373.75,3739111.25",140880
August,Germany,Paseo,34867.42,"34867.42,3739111.25,3773978.67",25420
August,Germany,VTT,135884,"135884,3773978.67,3909862.67",109720
August,Germany,Velo,18818.8,"18818.8,3909862.67,3928681.4699999997",10010
August,Germany,Montana,535392,"535392,3928681.4699999997,4464073.47",464750
August,Germany,Amarilla,27799.2,"27799.2,4464073.47,4491872.67",7722
August,Germany,Carretera,293993.75,"293993.75,4491872.67,4785866.42",332040
August,Mexico,Paseo,32667.4,"32667.4,4785866.42,4818533.82",24255
August,Mexico,VTT,557459,"557459,4818533.82,5375992.82",426920
August,Mexico,Velo,11327.4,"11327.4,5375992.82,5387320.220000001",6090
August,Mexico,Montana,287400,"287400,5387320.220000001,5674720.220000001",239500
August,Mexico,Amarilla,12802.2,"12802.2,5674720.220000001,5687522.420000001",3369
August,Mexico,Carretera,177100,"177100,5687522.420000001,5864622.420000001",184800
December,United States of America,Paseo,512249.23,"512249.23,11961701.73,12473950.96",465567
December,United States of America,VTT,368633.5,"368633.5,15032143.13,15400776.63",300640
December,United States of America,Velo,677578.9,"677578.9,9403862.65,10081441.55",652512
December,United States of America,Montana,327383.75,"327383.75,15400776.63,15728160.38",341790
December,United States of America,Amarilla,412807.8,"412807.8,13449931.66,13862739.46",355195
December,United States of America,Carretera,95854.5,"95854.5,17231442.41,17327296.91",74090
December,Canada,Paseo,2006413.9,"2006413.9,0,2006413.9",1613003
December,Canada,VTT,1067893.32,"1067893.32,3167125.9,4235019.22",962560
December,Canada,Velo,253562.22,"253562.22,16559974.000000002,16813536.220000003",245123
December,Canada,Montana,39932.07,"39932.07,17327296.91,17367228.98",31055
December,Canada,Amarilla,1160712,"1160712,2006413.9,3167125.9",941280
December,Canada,Carretera,1018475.12,"1018475.12,4235019.22,5253494.34",767244
December,France,Paseo,966906.8500000001,"966906.8500000001,5253494.34,6220401.1899999995",754125
