Orders.Sub-Category,Orders.Segment,Sum(Orders.Sales),
Accessories,Consumer,87105.23800000004,"87105.23800000004,0,87105.23800000004"
Accessories,Corporate,48190.564,"48190.564,87105.23800000004,135295.80200000003"
Accessories,Home Office,32084.515999999978,"32084.515999999978,135295.80200000003,167380.318"
Appliances,Consumer,52819.58100000005,"52819.58100000005,0,52819.58100000005"
Appliances,Corporate,36588.68299999998,"36588.68299999998,52819.58100000005,89408.26400000002"
Appliances,Home Office,18123.897,"18123.897,89408.26400000002,107532.16100000002"
Art,Consumer,14251.929999999997,"14251.929999999997,0,14251.929999999997"
Art,Corporate,8590.448000000006,"8590.448000000006,14251.929999999997,22842.378000000004"
Art,Home Office,4276.413999999999,"4276.413999999999,22842.378000000004,27118.792"
Binders,Consumer,118161.00899999998,"118161.00899999998,0,118161.00899999998"
Binders,Corporate,51560.313000000046,"51560.313000000046,118161.00899999998,169721.32200000001"
Binders,Home Office,33691.41100000001,"33691.41100000001,169721.32200000001,203412.733"
Bookcases,Consumer,68632.72899999998,"68632.72899999998,0,68632.72899999998"
Bookcases,Corporate,34005.9243,"34005.9243,68632.72899999998,102638.65329999998"
Bookcases,Home Office,12241.342999999997,"12241.342999999997,102638.65329999998,114879.99629999997"
Chairs,Consumer,172862.74199999977,"172862.74199999977,0,172862.74199999977"
Chairs,Corporate,99140.87799999991,"99140.87799999991,172862.74199999977,272003.61999999965"
Chairs,Home Office,56445.48300000002,"56445.48300000002,272003.61999999965,328449.10299999965"
Copiers,Consumer,69819.06999999999,"69819.06999999999,0,69819.06999999999"
Copiers,Corporate,46829.385999999984,"46829.385999999984,69819.06999999999,116648.45599999998"
Copiers,Home Office,32879.574,"32879.574,116648.45599999998,149528.02999999997"
Envelopes,Consumer,7771.146000000002,"7771.146000000002,0,7771.146000000002"
Envelopes,Corporate,5942.67,"5942.67,7771.146000000002,13713.816000000003"
Envelopes,Home Office,2762.585999999999,"2762.585999999999,13713.816000000003,16476.402000000002"
Fasteners,Consumer,1680.9419999999998,"1680.9419999999998,0,1680.9419999999998"
Fasteners,Corporate,783.2900000000001,"783.2900000000001,1680.9419999999998,2464.232"
Fasteners,Home Office,560.0479999999999,"560.0479999999999,2464.232,3024.2799999999997"
Furnishings,Consumer,49620.04599999995,"49620.04599999995,0,49620.04599999995"
Furnishings,Corporate,25001.26599999999,"25001.26599999999,49620.04599999995,74621.31199999995"
Furnishings,Home Office,17083.852,"17083.852,74621.31199999995,91705.16399999995"
Labels,Consumer,6709.2620000000015,"6709.2620000000015,0,6709.2620000000015"
Labels,Corporate,4101.646000000001,"4101.646000000001,6709.2620000000015,10810.908000000003"
Labels,Home Office,1675.4039999999995,"1675.4039999999995,10810.908000000003,12486.312000000002"
Machines,Consumer,79542.82500000004,"79542.82500000004,0,79542.82500000004"
Machines,Corporate,60276.754999999976,"60276.754999999976,79542.82500000004,139819.58000000002"
Machines,Home Office,49419.051,"49419.051,139819.58000000002,189238.63100000002"
Paper,Consumer,36324.36799999989,"36324.36799999989,0,36324.36799999989"
Paper,Corporate,23883.129999999972,"23883.129999999972,36324.36799999989,60207.49799999986"
Paper,Home Office,18271.708000000006,"18271.708000000006,60207.49799999986,78479.20599999986"
Phones,Consumer,169932.764,"169932.764,0,169932.764"
Phones,Corporate,91153.414,"91153.414,169932.764,261086.178"
Phones,Home Office,68920.87599999999,"68920.87599999999,261086.178,330007.054"
Storage,Consumer,100492.40200000005,"100492.40200000005,0,100492.40200000005"
Storage,Corporate,79790.99799999999,"79790.99799999999,100492.40200000005,180283.40000000002"
Storage,Home Office,43560.20799999998,"43560.20799999998,180283.40000000002,223843.608"
Supplies,Consumer,25741.496000000003,"25741.496000000003,0,25741.496000000003"
Supplies,Corporate,19435.284,"19435.284,25741.496000000003,45176.78"
Supplies,Home Office,1496.7580000000003,"1496.7580000000003,45176.78,46673.538"
Tables,Consumer,99933.79499999998,"99933.79499999998,0,99933.79499999998"
Tables,Corporate,70871.7175,"70871.7175,99933.79499999998,170805.51249999998"
Tables,Home Office,36160.01950000001,"36160.01950000001,170805.51249999998,206965.532"
