financials.Month Name,financials.Segment,Sum(financials. Sales),,Sum(financials.Profit),Sum(financials.Gross Sales)
April,Government,1956124.845,NaN,451012.34500000003,2117355.5
April,Small Business,3054922.5,NaN,330422.5,3269400
April,Enterprise,1649416.875,NaN,2416.875,1715625
April,Midmarket,167093.55,NaN,44813.55,183420
April,Channel Partners,137217.3,NaN,101319.3,143592
August,Government,2090277.38,NaN,458662.38000000006,2253495
August,Small Business,2454816,NaN,256316,2638200
August,Enterprise,1062677.5,NaN,-44322.5,1153125
August,Midmarket,143990.7,NaN,38140.7,158775
August,Channel Partners,112860.84,NaN,82269.84,122364
December,Government,8417869.719999997,NaN,2013474.7200000007,8760667
December,Small Business,5043570,NaN,564570,5374800
December,Enterprise,3352637.5,NaN,-110322.5,3607250
December,Midmarket,339254.4,NaN,93814.4,368160
December,Channel Partners,213897.35999999996,NaN,155793.36,232416
February,Government,2989162.42,NaN,686597.4199999998,3148165
February,Small Business,3187785,NaN,385285,3363000
February,Enterprise,926216.25,NaN,-20943.75,986625
February,Midmarket,109510.8,NaN,35260.799999999996,111375
February,Channel Partners,84856.92,NaN,62347.92,90036
January,Government,2693632.935,NaN,516910.435,2993771.5
January,Small Business,2775082.5,NaN,231457.5,3052350
January,Enterprise,892823.75,NaN,-60516.25,993062.5
January,Midmarket,115165.275,NaN,30380.275,127177.5
January,Channel Partners,131057.22000000002,NaN,95796.72000000002,141042
July,Government,3029874.64,NaN,610577.1399999999,3295944.5
July,Small Business,3090361.5,NaN,209236.5,3457350
July,Enterprise,1756436.25,NaN,2456.25,1827062.5
July,Midmarket,131039.54999999999,NaN,32664.549999999996,147562.5
July,Channel Partners,95208.24,NaN,68931.24,105108
June,Government,4591347.179999998,NaN,931367.1799999997,5014072
June,Small Business,3171096,NaN,330096,3409200
June,Enterprise,1261932.5,NaN,-17027.5,1332250
June,Midmarket,313279.49999999994,NaN,94339.5,328410
June,Channel Partners,181238.64,NaN,134978.63999999998,185040
March,Government,2247096.3600000003,NaN,449176.3599999999,2472234
March,Small Business,2068179,NaN,139179,2314800
March,Enterprise,1077126.25,NaN,-10073.75,1132500
March,Midmarket,118467.9,NaN,35667.9,124200
March,Channel Partners,75990.36,NaN,55917.36,80292
May,Government,2806323.09,NaN,505178.08999999997,3143777
May,Small Business,2252736,NaN,288486,2357100
May,Enterprise,973555,NaN,-51125,1067375
May,Midmarket,89218.65,NaN,22688.65,99795
May,Channel Partners,88378.31999999999,NaN,63412.31999999999,99864
November,Government,5055080.3999999985,NaN,917140.4000000001,5684318
November,Small Business,5004150,NaN,351900,5582700
November,Enterprise,2143332.5,NaN,-120347.5,2358000
November,Midmarket,226759.20000000004,NaN,58939.2,251730
November,Channel Partners,222095.4,NaN,162470.4,238500
October,Government,11484032.75999999,NaN,2670522.7600000026,12058282
October,Small Business,6438126,NaN,565126,7047600
October,Enterprise,3080947.5,NaN,-91372.5,3304500
October,Midmarket,418319.4,NaN,114499.40000000001,455730
October,Channel Partners,250005.36000000002,NaN,181005.36000000002,276000
September,Government,5143438.94,NaN,1177553.9399999997,5460985
September,Small Business,3887094,NaN,491094,4075200
September,Enterprise,1434592.5,NaN,-93367.5,1591625
September,Midmarket,209784.14999999997,NaN,58894.149999999994,226335
September,Channel Partners,207787.68,NaN,152560.68000000002,220908
