Opportunities.Rating,Opportunities.Status,Opportunities.Value,CountNonNull(Opportunities.Purchase Process),
Cold,Lost,2600,33,"33,155,188"
Cold,Lost,2800,45,"45,0,45"
Cold,Lost,2500,36,"36,85,121"
Cold,Lost,2700,34,"34,121,155"
Cold,Lost,2900,40,"40,45,85"
Cold,Lost,3300,23,"23,498,521"
Cold,Lost,3100,28,"28,340,368"
Cold,Lost,3200,31,"31,188,219"
Cold,Lost,3000,28,"28,368,396"
Cold,Lost,3400,30,"30,281,311"
Cold,Lost,3600,17,"17,580,597"
Cold,Lost,3700,17,"17,597,614"
Cold,Lost,3800,12,"12,739,751"
Cold,Lost,3900,17,"17,614,631"
Cold,Lost,3500,17,"17,631,648"
Cold,Lost,1000,31,"31,219,250"
Cold,Lost,1200,26,"26,424,450"
Cold,Lost,1100,28,"28,396,424"
Cold,Lost,1300,29,"29,311,340"
Cold,Lost,1400,24,"24,450,474"
Cold,Lost,2400,31,"31,250,281"
Cold,Lost,2200,17,"17,648,665"
Cold,Lost,2000,24,"24,474,498"
Cold,Lost,2300,21,"21,521,542"
Cold,Lost,2100,19,"19,542,561"
Cold,Lost,800,13,"13,713,726"
Cold,Lost,700,17,"17,665,682"
Cold,Lost,500,16,"16,682,698"
Cold,Lost,900,19,"19,561,580"
Cold,Lost,600,15,"15,698,713"
Cold,Lost,400,7,"7,796,803"
Cold,Lost,200,5,"5,810,815"
Cold,Lost,300,7,"7,803,810"
Cold,Lost,100,8,"8,780,788"
Cold,Lost,1500,10,"10,751,761"
Cold,Lost,1900,13,"13,726,739"
Cold,Lost,1700,10,"10,761,771"
Cold,Lost,1800,9,"9,771,780"
Cold,Lost,1600,8,"8,788,796"
Cold,Lost,4900,2,"2,815,817"
Cold,Lost,4100,2,"2,817,819"
Cold,Lost,4600,1,"1,819,820"
Cold,Lost,4700,1,"1,820,821"
Cold,Lost,4000,1,"1,821,822"
Cold,Open,2600,55,"55,303,358"
Cold,Open,2800,60,"60,130,190"
Cold,Open,2500,65,"65,0,65"
Cold,Open,2700,65,"65,65,130"
Cold,Open,2900,57,"57,190,247"
Cold,Open,3300,52,"52,358,410"
Cold,Open,3100,56,"56,247,303"
Cold,Open,3200,39,"39,589,628"
Cold,Open,3000,47,"47,410,457"
Cold,Open,3400,44,"44,457,501"
Cold,Open,3600,44,"44,501,545"
Cold,Open,3700,44,"44,545,589"
Cold,Open,3800,34,"34,667,701"
Cold,Open,3900,39,"39,628,667"
Cold,Open,3500,34,"34,701,735"
Cold,Open,1000,24,"24,928,952"
Cold,Open,1200,19,"19,1068,1087"
Cold,Open,1100,30,"30,766,796"
Cold,Open,1300,23,"23,1000,1023"
Cold,Open,1400,31,"31,735,766"
Cold,Open,2400,24,"24,952,976"
Cold,Open,2200,24,"24,976,1000"
