Opportunities.Decision Maker Identified,Opportunities.Campaign Name,Sum(Opportunities.Budget),
False,(Blank),24359125,"24359125,0,24359125"
False,Monthly Newsletter,1822750,"1822750,24359125,26181875"
False,New Product Releases,1234000,"1234000,27462625,28696625"
False,Customer Care Campaign,1280750,"1280750,26181875,27462625"
False,Customer Follow-up,948250,"948250,28696625,29644875"
False,Consumer Tradeshow,653375,"653375,29644875,30298250"
False,Market Trends Newsletter,352750,"352750,30298250,30651000"
False,Twitter,316875,"316875,30651000,30967875"
True,(Blank),23911250,"23911250,0,23911250"
True,Monthly Newsletter,2198875,"2198875,23911250,26110125"
True,New Product Releases,1453125,"1453125,26110125,27563250"
True,Customer Care Campaign,1121250,"1121250,30172625,31293875"
True,Customer Follow-up,1259375,"1259375,28913250,30172625"
True,Consumer Tradeshow,1350000,"1350000,27563250,28913250"
True,Market Trends Newsletter,592750,"592750,31293875,31886625"
True,Twitter,380125,"380125,31886625,32266750"
