measures-as-group,Opportunities.Campaign Name,Avg(Opportunities.Discount),
Discount,Customer Follow-up,5.8107664233576575,"5.8107664233576575,0,5.8107664233576575"
Discount,Consumer Tradeshow,5.484507042253521,"5.484507042253521,5.8107664233576575,11.295273465611178"
Discount,New Product Releases,4.530440414507786,"4.530440414507786,11.295273465611178,15.825713880118965"
Discount,Customer Care Campaign,4.32247340425531,"4.32247340425531,15.825713880118965,20.148187284374274"
Discount,Market Trends Newsletter,3.676171875000009,"3.676171875000009,20.148187284374274,23.824359159374282"
Discount,Monthly Newsletter,3.165672782874609,"3.165672782874609,23.824359159374282,26.99003194224889"
Discount,Twitter,3.1047222222222217,"3.1047222222222217,26.99003194224889,30.094754164471112"
Discount,(Blank),2.935862977602109,"2.935862977602109,30.094754164471112,33.03061714207322"
Value,Customer Follow-up,176610000,"176610000,4590490000,4767100000"
Value,Consumer Tradeshow,160270000,"160270000,4767100000,4927370000"
Value,New Product Releases,214970000,"214970000,4183360000,4398330000"
Value,Customer Care Campaign,192160000,"192160000,4398330000,4590490000"
Value,Market Trends Newsletter,75640000,"75640000,4927370000,5003010000"
Value,Monthly Newsletter,321730000,"321730000,3861630000,4183360000"
Value,Twitter,55760000,"55760000,5003010000,5058770000"
Value,(Blank),3861630000,"3861630000,0,3861630000"
