Opportunities.Product Name,Opportunities.Status,Avg(Opportunities.Probability),
Tablets,Won,79.94186046511629,"79.94186046511629,0,79.94186046511629"
Tablets,Open,48.33333333333333,"48.33333333333333,79.94186046511629,128.2751937984496"
Tablets,Lost,38.91304347826087,"38.91304347826087,128.2751937984496,167.18823727671048"
Ergonomic Seating,Won,73.59322033898306,"73.59322033898306,766.6164307146464,840.2096510536295"
Ergonomic Seating,Open,40.78651685393258,"40.78651685393258,840.2096510536295,880.996167907562"
Ergonomic Seating,Lost,37.2636815920398,"37.2636815920398,880.996167907562,918.2598494996018"
Stand-up Desks,Won,75.3398058252427,"75.3398058252427,167.18823727671048,242.5280431019532"
Stand-up Desks,Open,37.155172413793096,"37.155172413793096,281.8564013109084,319.01157372470146"
Stand-up Desks,Lost,39.3283582089552,"39.3283582089552,242.5280431019532,281.8564013109084"
Desktops,Won,74.01420959147424,"74.01420959147424,617.7453403892273,691.7595499807015"
Desktops,Open,38.25688073394496,"38.25688073394496,691.7595499807015,730.0164307146465"
Desktops,Lost,36.599999999999994,"36.599999999999994,730.0164307146465,766.6164307146465"
Design app,Won,73.39527559055115,"73.39527559055115,918.259849499602,991.6551250901531"
Design app,Open,36.03174603174602,"36.03174603174602,1028.234245247737,1064.265991279483"
Design app,Lost,36.57912015758373,"36.57912015758373,991.6551250901531,1028.234245247737"
Laser Printers,Won,75.00539374325783,"75.00539374325783,465.5223786007237,540.5277723439815"
Laser Printers,Open,43.26829268292683,"43.26829268292683,540.5277723439815,583.7960650269083"
Laser Printers,Lost,33.94927536231882,"33.94927536231882,583.7960650269083,617.7453403892272"
Webcams,Won,75.11304347826083,"75.11304347826083,319.01157372470146,394.1246172029623"
Webcams,Open,35.151515151515156,"35.151515151515156,430.37086344920857,465.52237860072375"
Webcams,Lost,36.24624624624623,"36.24624624624623,394.1246172029623,430.37086344920857"
All-in-One,Won,68.65605658709102,"68.65605658709102,1191.06673104389,1259.722787630981"
All-in-One,Open,33.8064516129032,"33.8064516129032,1259.722787630981,1293.5292392438841"
All-in-One,Lost,29.34191702432044,"29.34191702432044,1293.5292392438841,1322.8711562682047"
Mobile app,Won,71.04627766599606,"71.04627766599606,1064.2659912794827,1135.3122689454788"
Mobile app,Open,28.021978021978022,"28.021978021978022,1135.3122689454788,1163.3342469674567"
Mobile app,Lost,27.73248407643309,"27.73248407643309,1163.3342469674567,1191.0667310438898"
Scanners,Won,52.44604316546761,"52.44604316546761,1322.8711562682045,1375.3171994336722"
Scanners,Open,13.850267379679144,"13.850267379679144,1401.3125428562564,1415.1628102359355"
Scanners,Lost,25.995343422584366,"25.995343422584366,1375.3171994336722,1401.3125428562564"
