Opportunities.Decision Maker Identified,Opportunities.Campaign Name,Sum(Opportunities.Budget),
false,(Blank),24359125,"24359125,0,24359125"
false,Monthly Newsletter,1822750,"1822750,24359125,26181875"
false,New Product Releases,1234000,"1234000,27462625,28696625"
false,Customer Care Campaign,1280750,"1280750,26181875,27462625"
false,Customer Follow-up,948250,"948250,28696625,29644875"
false,Consumer Tradeshow,653375,"653375,29644875,30298250"
false,Market Trends Newsletter,352750,"352750,30298250,30651000"
false,Twitter,316875,"316875,30651000,30967875"
true,(Blank),23911250,"23911250,0,23911250"
true,Monthly Newsletter,2198875,"2198875,23911250,26110125"
true,New Product Releases,1453125,"1453125,26110125,27563250"
true,Customer Care Campaign,1121250,"1121250,30172625,31293875"
true,Customer Follow-up,1259375,"1259375,28913250,30172625"
true,Consumer Tradeshow,1350000,"1350000,27563250,28913250"
true,Market Trends Newsletter,592750,"592750,31293875,31886625"
true,Twitter,380125,"380125,31886625,32266750"
