Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),,Sum(Orders.Quantity),Min(Orders.Product Name)
First Class,Copiers,14798.3793,"13904.456225000002,0,13904.456225000002",45,Canon imageCLASS 2200 Advanced Copier
First Class,Phones,8400.270000000004,"11128.932650000006,13904.456225000002,25033.388875000008",501,Aastra 57i VoIP phone
First Class,Accessories,5907.413099999997,"10484.158924999996,25033.388875000008,35517.5478",461,AmazonBasics 3-Button USB Wired Mouse
First Class,Paper,4919.299099999999,"8513.392324999999,35517.5478,44030.940125",785,14-7/8 x 11 Blue Bar Computer Printout Paper
First Class,Binders,4128.142500000004,"7555.440825,44030.940125,51586.38095",918,3M Organizer Strips
First Class,Chairs,2645.2149000000004,"6647.541574999999,61440.588899999995,68088.130475",335,DMI Arturo Collection Mission-style Design Wood Chair
First Class,Storage,3012.1836999999996,"5319.706599999999,56120.8823,61440.588899999995",458,Acco Perma 2700 Stacking Storage Drawers
First Class,Appliances,3543.8611,"4534.501350000002,51586.38095,56120.8823",253,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
First Class,Furnishings,2093.0965000000006,"3264.7858999999985,68088.130475,71352.916375",540,24-Hour Round Wall Clock
First Class,Envelopes,1001.5960999999999,"1741.0441749999998,71352.916375,73093.96055",114,"#10 White Business Envelopes,4 1/8 x 9 1/2"
First Class,Art,750.35,"1631.9467499999996,74480.52405,76112.47080000001",414,4009 Highlighters by Sanford
First Class,Labels,804.7151999999999,"1386.5634999999997,73093.96055,74480.52405",250,Alphabetical Labels for Top Tab Filing
First Class,Machines,-1603.4990000000003,"846.1892249999995,70753.06620000002,71599.25542500001",76,Cisco 8961 IP Phone Charcoal
First Class,Fasteners,127.07520000000002,"237.37954999999994,76112.47080000001,76349.85035000001",106,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes"
First Class,Supplies,113.10619999999999,"-297.27487499999984,76349.85035000001,76052.575475",74,"Acme 10"" Easy Grip Assistive Scissors"
First Class,Bookcases,-305.9975000000003,"-868.1390000000004,76052.575475,75184.43647500001",187,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
First Class,Tables,-1365.3665000000003,"-4431.370274999999,75184.43647500001,70753.06620000002",176,Balt Solid Wood Rectangular Table
Same Day,Copiers,2580.9548999999997,"13904.456225000002,10484.158924999996,24388.615149999998",16,Brother DCP1000 Digital 3 in 1 Multifunction Machine
Same Day,Phones,1784.4745999999998,"11128.932650000006,32902.007475,44030.94012500001",143,Aastra 57i VoIP phone
Same Day,Accessories,3866.6910000000007,"10484.158924999996,0,10484.158924999996",166,HP Standard 104 key PS/2 Keyboard
Same Day,Paper,2088.4229,"8513.392324999999,24388.615149999998,32902.007475",287,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”"
Same Day,Binders,1140.2820999999994,"7555.440825,44030.94012500001,51586.380950000006",258,3-ring staple pack
Same Day,Chairs,1135.6434999999994,"6647.541574999999,51586.380950000006,58233.922525",160,DMI Arturo Collection Mission-style Design Wood Chair
Same Day,Storage,980.2761,"5319.706599999999,62768.42387500001,68088.13047500001",179,Acco Perma 3000 Stacking Storage Drawers
Same Day,Appliances,1091.6577,"4534.501350000002,58233.922525,62768.42387500001",77,"Belkin 325VA UPS Surge Protector, 6'"
Same Day,Furnishings,398.56179999999983,"3264.7858999999985,70566.26645000001,73831.05235000001",189,12-1/2 Diameter Round Wall Clock
Same Day,Envelopes,348.81479999999993,"1741.0441749999998,72962.91335000002,74703.95752500002",58,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
Same Day,Art,403.4431,"1631.9467499999996,68934.31970000001,70566.26645000001",133,12 Colored Short Pencils
Same Day,Labels,245.56420000000006,"1386.5634999999997,74703.95752500002,76090.52102500002",68,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White"
Same Day,Machines,438.77079999999944,"846.1892249999995,68088.13047500001,68934.31970000001",35,Ativa V4110MDD Micro-Cut Shredder
Same Day,Fasteners,46.1181,"237.37954999999994,75793.24615000002,76030.62570000002",53,Acco Hot Clips Clips to Go
Same Day,Supplies,78.94019999999999,"-297.27487499999984,76090.52102500002,75793.24615000002",34,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L"
Same Day,Bookcases,392.56559999999996,"-868.1390000000004,73831.05235000001,72962.91335000002",19,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
Same Day,Tables,-1129.4225,"-4431.370274999999,76030.62570000002,71599.25542500002",85,Anderson Hickey Conga Table Tops & Accessories
Second Class,Copiers,6883.8703,"13904.456225000002,30126.4839,44030.940125",44,Brother DCP1000 Digital 3 in 1 Multifunction Machine
Second Class,Phones,8377.6354,"11128.932650000006,10484.158924999996,21613.091575000002",658,Anker Astro 15000mAh USB Portable Charger
Second Class,Accessories,8733.670800000002,"10484.158924999996,0,10484.158924999996",629,AmazonBasics 3-Button USB Wired Mouse
Second Class,Paper,7567.028799999996,"8513.392324999999,21613.091575000002,30126.4839",1122,"""While you Were Out"" Message Book, One Form per Page"
Second Class,Binders,5461.342000000005,"7555.440825,50678.481700000004,58233.922525",1021,3M Organizer Strips
Second Class,Chairs,6766.249999999999,"6647.541574999999,44030.940125,50678.481700000004",489,Bevis Steel Folding Chairs
Second Class,Storage,5434.313199999993,"5319.706599999999,58233.922525,63553.629125",670,2300 Heavy-Duty Transfer File Systems by Perma
